Ewe/V	<I>/mA	
-7.0518464E-001	7.721424201316212E-004
-7.0459491E-001	7.822666862723274E-004
-7.0413882E-001	7.952622798675967E-004
-7.0365888E-001	8.096303781499524E-004
-7.0310736E-001	8.265318807681408E-004
-7.0266086E-001	8.414242995564668E-004
-7.0218569E-001	8.539560344147492E-004
-7.0169139E-001	8.722398663201393E-004
-7.0117092E-001	8.949184506800677E-004
-7.0065522E-001	9.188239342562952E-004
-7.0008451E-001	9.380062572709527E-004
-6.9967145E-001	9.487485747038063E-004
-6.9914615E-001	9.526724236850540E-004
-6.9865435E-001	9.582018434838510E-004
-6.9818151E-001	9.703028272894134E-004
-6.9767064E-001	9.813093461140547E-004
-6.9715720E-001	1.010145885301335E-003
-6.9661999E-001	1.039019681109580E-003
-6.9611859E-001	1.053555278419615E-003
-6.9559097E-001	1.057816652762394E-003
-6.9512051E-001	1.059532326035641E-003
-6.9464773E-001	1.072953206524535E-003
-6.9414872E-001	1.097924385717614E-003
-6.9364971E-001	1.127152557120370E-003
-6.9311732E-001	1.143997311014161E-003
-6.9264686E-001	1.159975802959397E-003
-6.9210249E-001	1.164157915334724E-003
-6.9161534E-001	1.171758866285193E-003
-6.9115698E-001	1.180112383797014E-003
-6.9062930E-001	1.197006457219974E-003
-6.9012785E-001	1.220933484609849E-003
-6.8963122E-001	1.251351062496650E-003
-6.8913221E-001	1.274858574054244E-003
-6.8862361E-001	1.278914239964016E-003
-6.8815333E-001	1.285963116060715E-003
-6.8764472E-001	1.291682861827900E-003
-6.8715280E-001	1.308412490501128E-003
-6.8669683E-001	1.325081239912344E-003
-6.8610227E-001	1.360124054466394E-003
-6.8559605E-001	1.386979016282017E-003
-6.8511850E-001	1.401889348576858E-003
-6.8466014E-001	1.404217212145849E-003
-6.8420649E-001	1.415391218912320E-003
-6.8363100E-001	1.427379649263656E-003
-6.8310094E-001	1.453179322000897E-003
-6.8260670E-001	1.490769002959396E-003
-6.8211478E-001	1.507640578554291E-003
-6.8161583E-001	1.511678541394647E-003
-6.8114060E-001	1.516448660845998E-003
-6.8064404E-001	1.538672630905867E-003
-6.8018556E-001	1.568615405930452E-003
-6.7963642E-001	1.604024049299747E-003
-6.7912310E-001	1.614068400564039E-003
-6.7865980E-001	1.616467494438298E-003
-6.7811543E-001	1.627850319353356E-003
-6.7766416E-001	1.659405766139096E-003
-6.7712694E-001	1.690933050020750E-003
-6.7665416E-001	1.717986588453159E-003
-6.7613119E-001	1.735486484737314E-003
-6.7562509E-001	1.741275514768935E-003
-6.7517388E-001	1.751947458932736E-003
-6.7460072E-001	1.775683303276036E-003
-6.7408264E-001	1.817251332034967E-003
-6.7356926E-001	1.848189321403834E-003
-6.7315620E-001	1.856831064517388E-003
-6.7265004E-001	1.865850388057616E-003
-6.7211038E-001	1.882025094024950E-003
-6.7162567E-001	1.919637029871219E-003
-6.7109329E-001	1.955230959421748E-003
-6.7063719E-001	1.975685577723203E-003
-6.7016691E-001	1.981270344878779E-003
-6.6967499E-001	1.991793219988394E-003
-6.6914970E-001	2.022965275303677E-003
-6.6861731E-001	2.065119139098279E-003
-6.6820180E-001	2.096006266853231E-003
-6.6756427E-001	2.118037640610249E-003
-6.6713208E-001	2.121976492841661E-003
-6.6663545E-001	2.142202398683912E-003
-6.6617697E-001	2.180635633569891E-003
-6.6555619E-001	2.221649825256057E-003
-6.6512644E-001	2.251616944643362E-003
-6.6462976E-001	2.261823065022008E-003
-6.6415942E-001	2.272865364789281E-003
-6.6362935E-001	2.311765882554165E-003
-6.6309929E-001	2.357718592095319E-003
-6.6262656E-001	2.393247870840359E-003
-6.6214186E-001	2.404146619011642E-003
-6.6160458E-001	2.422764952263980E-003
-6.6115338E-001	2.452134673221071E-003
-6.6063750E-001	2.493467015772133E-003
-6.6010755E-001	2.540346984426910E-003
-6.5965384E-001	2.567298299437887E-003
-6.5913576E-001	2.575599791914008E-003
-6.5861523E-001	2.607812846404949E-003
-6.5813762E-001	2.651639824797388E-003
-6.5764105E-001	2.699691323953959E-003
-6.5705365E-001	2.734373577870764E-003
-6.5663344E-001	2.752286420304596E-003
-6.5614402E-001	2.776949705469659E-003
-6.5569991E-001	2.823593716068891E-003
-6.5504801E-001	2.872718220472654E-003
-6.5463018E-001	2.918691227866040E-003
-6.5414542E-001	2.935237799168690E-003
-6.5366316E-001	2.966512072282254E-003
-6.5317845E-001	3.012282779168394E-003
-6.5261018E-001	3.067856167544344E-003
-6.5205383E-001	3.120934316444262E-003
-6.5161449E-001	3.153539558590400E-003
-6.5114176E-001	3.184115086733080E-003
-6.5061170E-001	3.222704449483082E-003
-6.5016997E-001	3.282909455622652E-003
-6.4962804E-001	3.344883956384104E-003
-6.4912415E-001	3.388219703786846E-003
-6.4860839E-001	3.426871681494664E-003
-6.4814520E-001	3.461059258024548E-003
-6.4761758E-001	3.516649255393980E-003
-6.4714479E-001	3.590161926452046E-003
-6.4663857E-001	3.656949495842193E-003
-6.4616817E-001	3.703065813439252E-003
-6.4568353E-001	3.753007062830424E-003
-6.4513195E-001	3.803349243865370E-003
-6.4463300E-001	3.866059191352481E-003
-6.4412677E-001	3.950451516926117E-003
-6.4360386E-001	4.027288263817485E-003
-6.4317167E-001	4.079464884782211E-003
-6.4266551E-001	4.137736379487347E-003
-6.4210916E-001	4.215694979669312E-003
-6.4162922E-001	4.310975615912982E-003
-6.4109677E-001	4.389635095704586E-003
-6.4061445E-001	4.458473103219965E-003
-6.4010352E-001	4.535015198261117E-003
-6.3959968E-001	4.635317867490718E-003
-6.3917470E-001	4.741156468356477E-003
-6.3861352E-001	4.835550965894969E-003
-6.3814318E-001	4.917376083496114E-003
-6.3761550E-001	5.018850781469354E-003
-6.3711411E-001	5.144293941690071E-003
-6.3659126E-001	5.268197364973970E-003
-6.3610882E-001	5.380935779600346E-003
-6.3560510E-001	5.487032709146276E-003
-6.3514668E-001	5.622316321331727E-003
-6.3469297E-001	5.779196210212445E-003
-6.3408649E-001	5.928595737136195E-003
-6.3365197E-001	6.059700001963430E-003
-6.3310039E-001	6.211736151039885E-003
-6.3259661E-001	6.389511427246072E-003
-6.3217157E-001	6.552770978280595E-003
-6.3165587E-001	6.725193349367775E-003
-6.3112581E-001	6.915638868449564E-003
-6.3066971E-001	7.123799364988970E-003
-6.3014442E-001	7.341221074820262E-003
-6.2961435E-001	7.546690400226236E-003
-6.2916315E-001	7.770967662976509E-003
-6.2867367E-001	8.001017255985245E-003
-6.2816745E-001	8.264824531784704E-003
-6.2760639E-001	8.537091046744494E-003
-6.2715268E-001	8.796996072890057E-003
-6.2663460E-001	9.065891502875491E-003
-6.2614274E-001	9.360099095541016E-003
-6.2561023E-001	9.675177666457820E-003
-6.2513274E-001	1.000751105298976E-002
-6.2461209E-001	1.034039429842941E-002
-6.2415135E-001	1.066600167387266E-002
-6.2364274E-001	1.101764183386764E-002
-6.2313181E-001	1.137663426819522E-002
-6.2256837E-001	1.177486248623660E-002
-6.2215292E-001	1.216570829024637E-002
-6.2168968E-001	1.255596357821061E-002
-6.2114048E-001	1.295836140040027E-002
-6.2057698E-001	1.337877727515055E-002
-6.2012815E-001	1.382160023633200E-002
-6.1958855E-001	1.426468385777358E-002
-6.1918265E-001	1.469753364234067E-002
-6.1864060E-001	1.514385292733339E-002
-6.1810088E-001	1.562466916452620E-002
-6.1762339E-001	1.610172278671157E-002
-6.1716270E-001	1.658823702385050E-002
